EN,RUS,TH,TH 2244/2828 (79.35%)
I guess I'm alone.,"Похоже, я одна.",,
Is that Benjamin's bag?,Это сумка Бенджамина?,,
Benjamin?! Are you around?,Бенджамин?! Ты здесь?,,
He must be in trouble!,"Должно быть, он в беде!",,
"I'm very disappointed in you, Misfortune!","Я очень в тебе разочарован, Неудача!",,
"Ah, there you are.","А, вот ты где.",,
"Hey, have you seen Benjamin?!","Эй, ты не видел Бенджамина?!",,
Didn't you hear what I just said?,"Ты не слышала, что я только что сказал?",,
"Mr. Voice... Please, stop playing games.","Мистер Голос... Пожалуйста, хватит играть в игры.",,
You have lied to me all the time and that's very sucky!,Ты врал мне все это время. А это отстойно!,,
I trusted you...,Я тебе доверяла...,,
I knew I couldn't trust you!,"Я знала, что не должна была доверять!",,
What are you talking about?,О чём ты говоришь?,พูดเรื่องอะไรกัน?,
I read what Benjamin wrote in his diary. All of it!,"Я прочла то, что Бенджамин написал в своём дневнике. Прочла все!",,
Benjamin made it really clear with a picture he showed me...,"Бенджамин мне все чётко разъяснил, показав картину...",,
You're the one taking the children!,Это ты забираешь детей!,,
"And I... I'm not the hero of this game, right?","А я... Я не герой этой игры, так?",,
Stop this nonsense!,Прекрати нести чушь!,,
You can't make me!,Ты меня не заставишь!,,
Yes I can...,"Нет, заставлю...",,
Stop that!,Прекрати!,,
Then play with me.,Тогда поиграй со мной.,,
I'll give you a clue!,Я дам тебе подсказку!,,
I'm sick of that Eternal Happiness. I don't want it anymore.,Меня тошнит от этого Вечного Счастья. Оно мне больше не нужно.,,
You can't say that! That would break the rules.,Ты не можешь так говорить! Это нарушит правила.,,
You've heard me!,Ты меня слышал!,,
I won’t tolerate this behavior.,Я не стану терпеть такое поведение.,,
No! Tell me where Benjamin is!,"Нет! Скажи мне, где Бенджамин! ",,
What did you do to him?,Что ты с ним сделал?,,
Fricking monster...,Чёртов монстр...,,
Hello...? Huh.\x0D,Эй...? Хм.\x0A,,
I think he is in trouble!,"Кажется, он в беде!",,
I'm very disappointed in you!,Я очень в тебе разочарован!,,
I guess the Eternal Happiness was all a lie...,"Похоже, Вечное Счастье было ложью...",,
We have to keep playing my game.,Мы должны продолжить играть в мою игру.,,
You need to find your Eternal Happiness.,Тебе нужно найти Вечное Счастье.,,
"It's at home, waiting for you!","Оно дома, ждёт тебя!",,
I don't want the Eternal Happiness anymore.,Я больше не хочу Вечного Счастья.,,
I'll be waiting for you at home.,Я буду ждать тебя дома.,,
Let see what's inside...,"Посмотрим, что внутри... ",,
Maybe a clue where to find Benjamin...,"Может, тут есть подсказка, где искать Бенджамина...",,
Oh! A baby deer!,Ах! Оленёнок!,,
"Oh, dream come true...","Ах, сбылась мечта...",,
So sweet...,Так мило...,,
I'm petting the baby deer.,Я глажу оленёнка.,,
MORGO,,มอร์โก,
FOX,FOX,จิ้งจอก,
Investigate bag,,,
Foxy,Foxy,จิ้งจอกฟ็อกซี่,
Deer,,,
"""At the end of the road, you will realize you already signed the deal.""","""В конце концов, ты поймёшь, что уже заключил сделку.""",,
"A deal, you say...?","Сделку, говоришь...?",,
Is that Benjamin as a baby?,Этот ребёнок - Бенджамин?,,
So cute...,Как мило...,,
"Oh, this is really mysterious.","Оу, это очень загадочно.",,
The parasite!,Паразит!,,
Paint? I like to paint.,Рисовать? Я люблю рисовать.,,
With the what?,С чем?,,
Now I will never know...,Теперь я никогда не узнаю...,,
Lil Baby Benji,,,
Doll,,,
Manual,,,
"Now when I look at this, I can see what Benjamin tried to warn me about...","Теперь, когда я думаю об этом, я понимаю, о чём меня пытался предупредить Бенджамин...",,
He knew all along...,Он знал все это время...,,
Such a foxy boy...,Такой хитрец...,,
"Ok, I'll wait here...","Хорошо, я подожду здесь...",,
Waiting... waiting... for a little while.,Ожидание... ожидание... ещё совсем немного.,,
"Ok, I'm gonna talk to myself.","Ладно, поговорю сама с собой.",,
So... Misfortune. How have you been?,Итак... Неудача. Как твои дела?,,
"Ok, I have this, like weird day.","Ну, у меня был очень странный день.",,
And then I went to the zoo and everything was everywhere...,"И тогда я пошла в зоопарк, и все было повсюду...",,
"And then I realized, Mr. Voice had lied to me a lot.","А потом я поняла, что Мистер Голос о многом мне лгал.",,
"And he took Benjamin, and now I'm alone.","Он забрал Бенджамина, и теперь я одна.",,
"Wow, sounds like you had one hell of a day, Misfortune!","Надо же, похоже, у тебя был адский день, Неудача!",,
The train is here!,Поезд здесь!,,
You go girl!,Вперёд девочка!,,
"I saw monsters, I saw dolls, I saw Benjamin.","Я видела монстров, видела кукол, видела Бенджамина.",,
I don't like being alone.\x0D,Мне не нравится быть одной.\x0A,,
"It was a nice chat, Misfortune! Talk to you later!","Это была приятная беседа, Неудача! Поговорим позже!",,
"Alright, I guess I'll take the train back home...","Что ж, пожалуй, вернусь домой на поезде...",,
Yes,Да,ใช่,
No,Нет,ไม่,
Poster,,,
Enter,,เข้า,
Bench,,ม้านั่ง,
Oh... I wish I had my coloring book with me...,"Ох... Жаль, что со мной нет моей книжки-раскраски...",,
"Hello, Hiro! I didn't recognize you!","Привет, Хиро! Я тебя не узнала!",,
Such a coincidence that you're on the same train as me.,"Какое совпадение, что ты на том же поезде, что и я.",,
"You know, I had a big fight with this silly voice in my head.","Знаешь, у меня была серьёзная ссора с этим глупым голосом в моей голове.",,
But I don't think it's just a voice anymore...,"Но я не думаю, что это просто голос...",,
I get the feeling that Mr. Voice is not who he says he is...,"У меня такое чувство, что Мистер Голос не тот, за кого себя выдаёт...",,
Have you ever heard voices in your head?,Ты когда-нибудь слышал голоса в своей голове?,,
I saw it in a book at Benjamin's place. Really creepy!,Я видела это в книге у Бенджамина. Действительно жутко!,,
Huh. I don't feel inspired.,Хм. Я не чувствую себя вдохновлённой.,,
I'm sure it's the monster.,"Я уверена, что это монстр.",,
"I know, Hiro! What does it mean?","Я знаю, Хиро! Что это значит?",,
Kiri wa dokodesu ka...,Кири ва докодесу ка...,คิริวะ โด๊ะโกะเดสึกะ... (หมอกอยู่ไหน...),
It's the monster!,Это монстр!,,
"No, Hiro!","Нет, Хиро!",,
Leave Hiro alone!,Оставь Хиро в покое!,,
Tasukete!,Таскете!,,
Hiro! Hold my hand!,Хиро! Держи мою руку!,,
Yada! Yada!,Йада! Йада!,,
*struggle*,*звуки борьбы*,,
Yes,Да,ใช่,
No,Нет,ไม่,
Play with Hiro?,Поиграть с Хиро?,,
Help Hiro,Помочь Хиро,,
Cover your eyes,Закрыть свои глаза,,
Hirospeaker,Hirospeaker,,
Now I have to walk all the way back home alone...,Теперь мне придётся идти домой одной...,,
This is the last time I follow a voice in my head.,"Это в последний раз, когда я следую за голосом в своей голове.",,
*very long sigh*,*печально вздыхает*,,
"If Benjamin was here, he would walk with me...","Будь здесь Бенджамин, он бы пошёл со мной...",,
I hope I get to see Hiro again.,"Надеюсь, я увижу Хиро снова.",,
I wonder what that monster did to him.,"Интересно, что монстр с ним сделал.",,
At least I had fun at Phantasmagoria...,"По крайней мере, я повеселилась в Фантасмагории...",,
I'm gonna tell Mommy about it.,Я расскажу об этом маме.,,
Ah...,Ой...,เอ่อ...,
Excuse me...,Прошу прощения...,,
"I know you look really creepy, but would you help a little lady?",Вы выглядите очень жутко... Но не могли бы вы помочь маленькой леди?,,
Hello? Can't you hear me?,Эй? Вы меня слышите?,,
"Well, if that's how you treat little ladies...","Хорошо, если вы так относитесь к маленьким леди...",,
"They didn't even look at me, like I wasn't there!\x0D","Они даже не взглянули на меня, словно меня там не было!\x0A",,
I'm talking over here.,Я к вам обращаюсь.,,
Then give yourself a fuck!,То катитесь к чёрту!,,
Oy...,Oх...,,
Benjamin was warning me all the time...,Бенджамин все время меня предупреждал...,,
But I couldn't see it...,Но я не могла этого увидеть...,,
"I'm a silly little lady, that's what I am.","Я маленькая глупая леди, вот кто я.",,
I wanted that Eternal Happiness so bad.,Я так сильно хотела это Вечное Счастье.,,
Billboard,,บอร์ดประกาศ,
Kick can,,,
Exit,,,
Phantasmagoria poster,,โปสเตอร์แฟนทาสมาโกเรีย,
Group of strangers,,,
Kick can,,,
We got red lights!,Наши лампочки красные!,,
I like 'em.,Мне нравится.,,
"Huh, where's the car?","Хм, где машина?",,
Is Daddy gone again?,Папа снова ушёл?,,
Door,,ประตู,
Mommy? I'm back!,Мама? Я вернулась!,,
Hello?,Ау?,หวัดดีค่า?,
What's that sound?,Что это за звук?,,
Benji...?,Бенджи...?,,
Door,,ประตู,
No! I don't want to play with you anymore.,Нет! Я больше не хочу с тобой играть.,,
"Knock, knock, who's there?","Тук-тук, кто там?",,
"You're scaring me, stop it!","Ты пугаешь меня, прекрати!",,
Leave me alone!,Оставь меня в покое!,,
New game! Knock... knock... who's there?,Новая игра! Тук... тук... кто там?,,
Hello? Mommy? Benji?,Эй? Мама? Бенджи?,,
"Congratulations, you reached the end of my game.","Поздравляю, ты добралась до конца моей игры.",,
Leave me alone!,Оставь меня в покое!,,
There's no Eternal Happiness for you...,Но для тебя нет Вечного Счастья...,,
Ok...,Хорошо...,ก็ได้...,
Splendid!,Великолепно!,,
I don't even care anymore.,Мне уже все равно.,,
Yes...,Да...,,
"Good, good.","Отлично, отлично.",,
"If I play along, would you give me back Benjamin?","Если я продолжу играть, ты вернешь мне Бенджамина?",,
I guess I will.,"Пожалуй, верну.",,
Of course you care.,"Конечно, тебе не все равно.",,
You know your Mommy needs it.,"Ты знаешь, что оно нужно твоей маме.",,
What happened here?!,Что здесь произошло?!,,
I'm looking for Mommy and Benjamin.,Я ищу маму и Бенджамина.,,
It’s your responsibility.,Это твоя ответственность.,,
But only if you truly commit to the game!,Но только если ты действительно будешь играть!,,
You will love my new game!,Тебе понравится моя новая игра!,,
I guess you're right.,"Наверное, ты прав.",,
Ready for a new game?,Ты готова к новой игре?,,
Who's there?,Кто там?,,
Leave me alone!,Оставь меня в покое!,,
Play Morgo's new game?,Играть в новую игру Морго?,เล่นเกมของมอร์โกรอบใหม่ไหม?,
"Knock, knock...","Тук, Тук...",,
Play,Играть,,
Don't play,Не играть,,
Door,,ประตู,
MORGO,,มอร์โก,
"If Mr. Voice scares me again, I'm gonna run and hide in here...","Если Мистер Голос меня снова напугает, я убегу и спрячусь тут...",,
"Huh, is this a new dance song?","Хм, это новая танцевальная песня?",,
"Ok, I'm just gonna play his game one last time.","Ладно, я сыграю в его игру в последний раз.",,
She's a wonderful child from a not so wonderful family.,Она замечательный ребёнок из не очень замечательной семьи.,เธอเป็นเด็กที่ยอดเยี่ยม จากครอบครัวที่ไม่ค่อยเยี่ยมยอดนัก,
This is Misfortune.,Это Неудача.,นี่คือยัยตัวซวย,
"A little sparkle for you, and a little sparkle for you...","Немного блёсток для вас, немного для тебя...",,
Didn't I do this already?,Разве я уже не делала этого?,,
"What? No, you're not doing this correctly...","Что? Нет, ты делаешь это неправильно...",,
"Then you say something about me dying today, which is totally not true by the way.","Затем ты говоришь что-то о том, что я сегодня умру. Что, кстати, совершенно не правда.",,
"Wait... Stop talking, please.","Подожди... Прекрати говорить, пожалуйста.",,
"Are we going to play another game or is this like, what?",Мы будем играть в другую игру или что?,,
"If you can reach the end of the game, I'll give you Eternal Happiness...","Если ты дойдёшь до конца игры, я дарую тебе Вечное Счастье...",ถ้าเธอสามารถไปถึงตอนจบของเกมได้ ฉันจะมอบความสุขนิรันดร์ให้เธอ...,
"And then you say ""Deal?"" and I say ""Yes!"".","А затем ты говоришь ""По рукам?"" и я говорю ""Да!"".",,
Stop ruining this!,Прекрати все портить!,,
"Oh, Eternal Happiness?!","Оу, Вечное Счастье?!",,
NO DEAL!,СДЕЛКИ НЕ БУДЕТ!,,
"Wonderful, fantastic! Ready to...","Замечательно, потрясающе! Ты готова...",ยอดเยี่ยม น่าทึ่งจริง ๆ !,
No deal! None! No.,Никакой сделки! Никакой! Нет.,,
How about this...,Как насчёт...,,
"If the game is about Benjamin and you leaving me alone, I'll play along.","Если игра о Бенджамине и о том, как ты оставишь меня в покое, я сыграю.",,
"Sure, sure, I promise!","Да, да, конечно, я обещаю!",,
Wait a minute.,Погоди минуту.,,
I don't understand.,Я не понимаю.,,
"Wait, what?","Подожди, что?",,
You know the way.,Ты знаешь дорогу.,,
*mumbling*,*бормотание*,,
What if the fox was waiting for you in the hallway?,Что если лис ждёт тебя в коридоре?,,
I have a little hunch that Mr. Voice is the monster in my closet.,"У меня есть небольшая догадка, что Мистер Голос - монстр из моего шкафа.",,
Wardrobe,,ตู้เสื้อผ้า,
Door,,ประตู,
MORGO,,มอร์โก,
Casette player,,,
Secret spot,,ที่ซ่อนลับ,
"Oh no, not again!","Ох, нет, только не снова!",,
You promised it wouldn't be like last time.,"Ты обещал, что будет не так как в прошлый раз.",,
That was a beautiful example of cause and effect!,Это был прекрасный пример причины и следствия!,,
"No, you lied to me.","Нет, ты мне наврал.",,
"Take me back, right now!","Верни меня, сейчас же!",,
Fine!,Прекрасно!,,
I don't want to play this game anymore.,Я больше не хочу играть в эту игру.,,
Let me come up with a new game to play.,Позволь мне придумать новую игру.,,
MORGO,,มอร์โก,
What happened here?,Что здесь произошло?,,
"My secret spot, he won't find me in there!","Моё Тайное Место, он не найдёт меня там!",,
Unicorn,Единорог,ยูนิคอร์น,
Stone,Камень,ก้อนหิน,
MORGO,,มอร์โก,
Secret spot,,ที่ซ่อนลับ,
"Open this door, right now, Misfortune!","Сейчас же открой эту дверь, Неудача!",,
"No, I told you already!","Нет, я уже тебе сказала!",,
So now we're playing hide and seek?,"Значит, теперь мы играем в прятки?",,
Is that one more of your lies?,Это ещё одна твоя ложь?,,
I will live forever with Benjamin and there's nothing you can do about it.,"Я буду жить вечно с Бенджамином, и ты ничего не сможешь с этим сделать.",,
Will you please stop talking about that fox!,Не могла бы ты прекратить говорить об этом лисе!,,
He's been trying to take you away from me all the time!,Он все время пытался забрать тебя у меня!,,
"Oh no, you don't talk like that about my Benjamin.","О, нет, не говори так о моем Бенджамине.",,
I'm done with you! I want you to leave.,"С тобой покончено! Я хочу, чтобы ты ушёл",,
You don't have a clue about what's going on...,"Ты и понятия не имеешь, что происходит...",,
"This is not the last game you play with me, Misfortune.","Это не последняя игра, в которую мы играем, Неудача.",,
No! Leave me alone.,Нет! Оставь меня в покое.,,
"Alright, just so you know...","Что ж, к твоему сведению...",,
This is only the beginning...,Это только начало...,,
*screams*,*кричит*,*กรี๊ด*,
"Oh, sweet unicorn!",Милый единорог!,,
"Oh, Stony!",Стоуни!,,
Roar!,Ар-р-р!,,
We have a new game to play.,Нам предстоит сыграть в новую игру.,,
I don't want to play with you anymore!,Я не хочу больше играть с тобой!,หนูไม่อยากเล่นกับคุณอีกต่อไปแล้ว!,
Teach me how to be brave.,Научи меня быть храброй.,,
Please take me to your rainbow kingdom.,"Прошу, забери меня в свое радужное королевство.",,
I love that game!,Мне нравится эта игра!,,
My game is the only thing keeping you alive!,"Моя игра - единственное, что держит тебя в живых!",เกมของฉันเป็นสิ่งเดียวที่ทำให้แกยังมีชีวิตได้!,
"And his ugly paintings, eugh!","А его уродливые картины, уф!",,
You know what...,Знаешь что...,,
Right now!,Прямо сейчас!,,
MORGO,,มอร์โก,
"You silly little child, another toy for my collection...","Ты, глупое дитя, очередная игрушка в моей коллекции...",เจ้าเด็กโง่ แกก็แค่ของเล่นสะสมของฉัน...,
"You're mine to play with, for eternity!","Ты моя, навечно!",,
I'm sick of you being a bully!,"Мне надоело, что ты хулиган!",,
"You'll see, Benjamin will come back and save me.","Вот увидишь, Бенджамин вернется и спасет меня.",,
No...,Нет...,ไม่นะ...,
We made a deal.,Мы заключили сделку.,,
You have left the world of the living behind.,Ты пересекла путь и теперь ты моя!,,
Leave me alone!,Отстань от меня!,,
Benjamin!,Бенджамин!,เบนจามิน!,
How did you get here?,Как ты здесь оказался?,,
"There's nothing you can do, she belongs to me!","Ты ничего не сможешь сделать, она принадлежит мне!",,
Benjamin?,Бенджамин?,เบนจามิน?,
No! No!,Нет! Нет!,,
Benjamin!,Бенджамин!,เบนจามิน!,
Is everything back to normal now?,Все стало как прежде?,,
Benjamin saved me...,Бенджамин спас меня...,,
Benji...?,Бенджи...?,,
Are you around?,Ты здесь?,,
I guess I'll have to rebuild this...,"Похоже, мне придется все переделать...",,
"But first, I want to find Benjamin.","Но сперва, я хочу найти Бенджамина.",,
I'll make some improvements.,Я сделаю его лучше.,,
"Benjamin, where are you?","Бенджамин, где ты?",,
Benjamin? Did you go outside?,Бенджамин? Ты вышел на улицу?,,
"Well, now I know what to call Mr. Voice...","Ну, теперь я знаю, как называть Мистера Голос...",,
"""Morgo is coming...”","""Морго близко...”",“มอร์โกมาแล้ว...”,
"""...Open your eyes, he is the voice in your head, driving you mad.""","""...Разуй глаза, он - тот голос в голове, что сводит тебя с ума.""",,
Unicorn,Единорог,ยูนิคอร์น,
Stone,Камень,ก้อนหิน,
Secret spot,,ที่ซ่อนลับ,
Door,,ประตู,
Doll,,,
Window,,หน้าต่าง,
Argh...,Ааа...,,
Ahhh.... ugh.,Черт... Ох.,,
Talk about cause and effect.,Говоря о причинах и следствиях.,,
Benji?,Бенджи?,,
Kitchen,,ครัว,
DoorBack,DoorBack,DoorBack,
Mommy?,Мама?,,
GoBack,GoBack,GoBack,
Outside,,,
Is that...,Это...,,
"Oh, no, what have I done...?\x0D","О, нет, что я наделала...?\x0A",,
"Oh, Benji, you're back.","Ах, Бенджи, ты вернулся.",,
I thought I lost you too.,"Я думала, что потеряла тебя тоже.",,
We need to go? Alright...,Нам нужно идти? Хорошо...,,
Mommy.,Мама.,แม่,
I guess I was your little misfortune for a while...,"Похоже, какое-то время я была твоей маленькой неудачей...",หนูคิดว่าหนูเป็นยัยตัวซวยตัวน้อยของแม่มานานพอแล้ว...,
I'll love you forever...,Я буду всегда тебя любить...,รักแม่ตลอดไปนะ...,
*soft crying*,*тихо плачет*,*ร้องไห้เบาๆ*,
What's all this? What's happening?,Что все это? Что происходит?,,
"Benji, wait.","Бенджи, подожди.",เบนจี้ เดี๋ยวก่อน,
"Because, I have nothing against it, but I have to talk with my Mommy first.","Я не имею ничего против, но сперва мне нужно поговорить с мамой.",เพราะฉันไม่มีอะไรจะแย้งหรอก แต่ขอคุยกับแม่ก่อน,
I'm going to go somewhere else.,Я отправляюсь в другое место.,หนูต้องไปที่อื่นแล้ว,
With Benji. Ok?,С Бенджи. Понимаешь?,ไปกับเบนจี้นะ โอเคมั้ย?,
He's the fox that I like.,"Он лис, который мне нравится.",เขาเป็นจิ้งจอกที่หนูชอบ,
"I'm a little lady, you know? That's what I am.","Я маленькая леди, знаешь? Вот кто я.",หนูเป็นสาวน้อยแล้วนะรู้มั้ย? หนูโตแล้ว,
Are you taking me somewhere else?,Ты забираешь меня в другое место?,,
But you need to find your own happiness now.,Но теперь ты должна сама найти свое счастье.,แต่แม่ต้องหาความสุขให้ตัวเองบ้างได้แล้วนะ,
Mommy!,Мама!,แม่!,
I'm back!,Я вернулась!,,
Are you angry because I couldn't get the happiness for you?,"Ты сердишься, потому что я не смогла достать для тебя счастье?",แม่โกรธเพราะหนูหาความสุขมาให้แม่ไม่ได้ใช่มั้ย?,
What's happening?,Что происходит?,เกิดอะไรขึ้น?,
...Mommy?,...Мама?,...แม่?,
This must be a bad dream...,"Должно быть, это дурной сон...",ต้องเป็นฝันร้ายแน่...,
"Mommy, don't ignore me!","Мама, не игнорируй меня!",แม่ อย่าเมินหนูแบบนี้!,
*cries*,*плачет*,*ร้องไห้*,
Talk to Mommy,,คุยกับแม่,
Covered-up body,Covered-up body,ศพที่คลุมไว้,
Foxy,,จิ้งจอกฟ็อกซี่,
EnterPortal,EnterPortal,,
Puppy? Benjamin? Where are you?,Пёсик? Бенджамин? Где вы?,,
I can't see very well...,Я плохо вижу...,,
[localvar:2],[localvar:2],[localvar:2],
Benji? I don't think I can go with you...,Бенджи? Я не могу пойти с тобой...,,
I want to go back to my Mommy.,Я хочу вернуться к своей маме.,,
The fog is pretty thick...,Туман очень плотный...,,
Hello?,Ау?,หวัดดีค่า?,
I'm sorry...,Прости...,,
"Oh, puppy!","О, пёсик!",,
Lil' Cutie!,Милашка!,ไอ้ต้าวตัวน้อย!,
I'm so happy to see you again!,Я так рада снова тебя видеть!,ดีใจจังที่ได้เจอแกอีก!,
"Wait for me, puppy!","Подожди меня, пёсик!",รอด้วยสิ เจ้าหมาน้อย!,
"Wait! Stop, Benjamin...","Подожди! Стой, Бенджамин...",,
Where are we going?,Куда мы идём?,,
Benji?,Бенджи?,,
Step in to the Fog,Шагнуть в туман,,
Return to Mommy,Вернуться к маме,,
PuppyDog,,PuppyDog,
Foxy,,จิ้งจอกฟ็อกซี่,
PuppyDog,PuppyDog,PuppyDog,
*mumbles*,*бормотание*,*พึมพำ*,
This is Misfortune.,Это Неудача.,นี่คือยัยตัวซวย,
NewMorgo,,NewMorgo,
What's happening...?,Что происходит...?,เกิดอะไรขึ้น...?,
"Oy, this place is really cold...","Ох, здесь очень холодно...",,
Who are you?,Кто ты?,,
"I'm a little lady, Misfortune. That's who I am.","Я маленькая леди, Неудача. Вот кто я.",หนูเป็นสาวน้อยชื่อยัยตัวซวย หนูเองแหละ,
Lady Misfortune?,Леди Неудача?,คุณหนูยัยตัวซวย?,
"Yes, you could say that.","Да, можно сказать и так.",,
Good. Step inside.,Хорошо. Заходи.,,
We were expecting you.,Мы ждали тебя.,,
What is this place?,Что это за место?,,
"""All around, disasters seem to disappear...""","""Повсюду вокруг беды исчезают...""",,
"""...Deep inside the fog you defeat him.""","""...В глубине тумана ты его победишь.""",,
"Huh, I guess Mr. Voice's game is over now...","Хм, похоже, игра Мистера Голос окончена...",,
...Benji?,...Бенджи?,...เบนจี้?,
"[magic lights and patters, reality is starting to shift between Pandora and Senersedee, very bizarre]",,,
Puppy,Puppy,เจ้าหมา,
Bell,Bell,,
Gate Enter,,,
PuppyDog,PuppyDog,PuppyDog,
Doll,,ตุ๊กตา,
Foxy,Foxy,จิ้งจอกฟ็อกซี่,
Death,Death,เดธ,
Gate,Gate,ประตูกั้น,
Death,Death,เดธ,
Perfect!,Отлично!,เพอร์เฟกต์!,
Sweet!,Мило!,เลิศเลย!,
Great!,Прекрасно!,เยี่ยม!,
You're on fire!,Ты в ударе!,หยุดไม่อยู่แล้ว!,
Oyyhh!,Ооохх!,โอ้โห!,
You can do better!,Ты можешь лучше!,เธอทำได้!,
Sweet moves!,Классные движения!,สวยพี่สวย!,
Shake that booty!,Подвигай попой!,ส่ายให้สุด!,
Dance!,Танцуй!,เต้นเลย!,
Super!,Супер!,เอาสุด!,
I love you!,Я тебя люблю!,รักเลย!,
Cute!,Мило!,ตัลล้าค!,
Perfect!,Прекрасно!,เพอร์เฟกต์!,
Sweet!,Мило!,เลิศเลย!,
Great!,Великолепно!,เยี่ยม!,
Perfect!,Идеально!,เพอร์เฟกต์!,
Sweet!,Славно!,เลิศเลย!,
Great!,Здорово!,เยี่ยม!,
You're on fire!,Ты просто огонь!,หยุดไม่อยู่แล้ว!,
Oyyhh!,Ууухх!,โอ้โห!,
You can do better!,У тебя получится лучше!,เธอทำได้!,
Sweet moves!,Классные движения!,สวยพี่สวย!,
You're on fire!,Ты зажигаешь!,หยุดไม่อยู่แล้ว!,
Oyyhh!,Ооооо!,โอ้โห!,
You can do better!,Ты сможешь лучше!,เธอทำได้!,
Sweet moves!,Классные движения!,สวยพี่สวย!,
Shake that booty!,Подвигай попой!,ส่ายให้สุด!,
Dance!,Танцуй!,เต้นเลย!,
Super!,Супер!,เอาสุด!,
I love you!,Я тебя люблю!,รักเลย!,
Shake that booty!,Подвигай попой!,ส่ายให้สุด!,
Dance!,Танцуй!,เต้นเลย!,
Super!,Круто!,เอาสุด!,
I love you!,Я тебя люблю!,รักเลย!,
Cute!,Прелесть!,ตัลล้าค!,
Sucky.,Отстой.,แย่จริง,
Slow!,Медленно!,ช้าจัง!,
Bad move.,Неправильное движение.,ท่าเฉิ่มไปนะ,
Yikes forever.,Да уж.,ยี้ตลอดกาล,
Sucky.,Паршиво.,แย่จริง,
Slow!,Медленно!,ช้าจัง!,
Bad move.,Неправильно.,ท่าเฉิ่มไปนะ,
Yikes forever.,Да уж.,ยี้ตลอดกาล,
Sucky.,Фигово.,แย่จริง,
Slow!,Медленно!,ช้าจัง!,
Bad move.,Неправильное движение.,ท่าเฉิ่มไปนะ,
Yikes forever.,Да уж.,ยี้ตลอดกาล,
"Hey, mysterious.","Привет, загадочный человек.",,
"By the way, can you speak Japanese? I need some translations.","Кстати, ты говоришь по-японски? Мне нужно кое-что перевести.",,
"That’s how you pay for your rent and food, right?","Так ты платишь за кров и еду, верно?",,
Do you go outside by yourself this late every day?,Ты выходишь так поздно один каждый день?,,
You know? I've never been outside this late by myself.,Знаешь? Я никогда не была на улице так поздно.,,
"So you don't know, huh?","Значит, ты не знаешь, да?",,
Do you know what this means...,"Знаешь, что это значит...",,
Do you like to eat sushi?,Ты любишь суши?,,
No. He wants to hear. Anyway...,Нет. Он хочет послушать. Так вот...,,
"Misfortune, just leave him alone...","Неудача, просто оставь его в покое...",,
And why is it that you collect coins?,И почему ты собираешь монеты?,,
You don't seem to want to talk about it.,"Кажется, ты не хочешь об этом говорить.",,
"You know that blue-eyed, soft-fluffy fox, who happens to be a great artist and stole my happiness.","Знаешь, к голубоглазому, пушистому лису, который, оказался великим художником, укравшим моё счастье.",,
Are you going to eat my chocolate coin?,Ты будешь есть мою шоколадную монету?,,
Ah! Stop talking!,А-а-а! Прекрати болтать!,,
"Oh, no. Can he swim? Hello?","О, нет. Он умеет плавать? Эй?",,
That’s what happens when little ladies ask too many questions!,"Вот что происходит, когда маленькие леди задают слишком много вопросов!",,
"Ah, stop it. I'm pretty sure he'll be fine.","Перестань. Я уверена, с ним все будет в порядке.",,
"Ah, why should I stop talking? Nobody else is talking.","Ах, почему я должна перестать говорить? Никто ведь не разговаривает.",,
"Hey, mysterious, where are you going?","Эй, загадочный человек, куда ты идёшь?",,
Are you taking me now to the house of Benjamin?,Ты везёшь меня к дому Бенджамина?,,
"I know about sushi, because I have a Japanese ghost friend.","Я знаю про суши, потому что у меня есть друг-призрак из Японии.",,
Because I'm a bit hungry.,Потому что я немного голодна.,,
It makes people want to drown themselves!,Это заставляет людей хотеть утопиться!,,
Kiri wa dokodesu ka!?,Кири ва докодесу ка!?,,
Look! We have arrived!,Смотри! Мы приплыли!,,
Hey... This place is very quiet.,Хей... Это место очень тихое.,เฮ้... ที่นี่มันเงียบมากเลย,
Anyway. I was thinking...,В общем. Я тут подумала...,อีกอย่าง หนูกำลังคิดว่า...,
"Oh, Kraken.","Оу, Кракен.",โอ้ เครเคน,
"If you appear in front of me, I will see you.","Если ты покажешься передо мной, я тебя увижу.",ถ้าเธอโผล่หน้าตรงหน้า ฉันคงได้เห็น,
"Sweet Kraken, come up in front of me, right now.","Милый Кракен, покажись передо мной, прямо сейчас.",เครเคนจ๋า โผล่มาให้ฉันเห็นที ได้รึเปล่า,
"Uh, what's a fricking Kraken?","Оу, что такое этот чёртов Кракен?",เครเคนมันเป็นตัวบ้าอะไรกันแน่นะ?,
"Is the Kraken available for petting? You know, like...","А Кракена можно погладить? Знаешь, как...",เราสามารถลูบเจ้าเครเคนเล่นได้มั้ย? เหมือนแบบ...,
"Some pet doggies, some pet kitties...","Некоторые гладят собак, некоторые - кошек...",ลูบน้องหมา น้องแมวแบบนั้นน่ะ...,
"Well, I heard you could lure it out with fish.","Конечно, я слышал его можно приманить рыбой.",เอ่อ เคยได้ยินว่าใช้ปลาล่อมันออกมาได้นะ,
"With fish, you say?","Рыбой, говоришь?",ใช้ปลา งั้นหรอ?,
"Well, I don't have any fish on me...","Ну, у меня нет при себе рыбы...",เอ่อ แต่หนูไม่มีปลาเลย...,
